bezeichnung,synonyme,definition,quelle,begriffsklasse,rgfeld,wikipedia,snik,hito,dbpedia,,
Administrativer Fall (Episode),Beispielsynonym 1|Beispielsynonym 2,"Ein einzelner Kontakt mit einem medizinischen Versorger (z.B. Hausarzt, Facharzt, Krankenhaus, etc.), beginnend mit der Überweisung / Einweisung und Aufnahme und endend mit der Entlassung oder Verlegung.",,,,,,,,,
Anordnungsset,,Vorgefertigte Auswahllisten von ärztlichen Anordnungen für spezifische Diagnosen oder Prozeduren.,Entscheiderfabrik,,,,,,,Farbliche Codierung,
Arbeitsablauf,,"Als Arbeitsablauf (oder Arbeitsfolge; englisch workflow) wird in der Organisationslehre die räumliche und zeitliche Reihenfolge von funktional, physikalisch oder technisch zusammengehörenden Arbeitsvorgängen an einem Arbeitsplatz bezeichnet.",Wikipedia,,,https://de.wikipedia.org/wiki/Arbeitsablauf,,,,,Glossareinträge von Uwe Buddrus (zu prüfen)
Business Continuity,,"Umfassender als Disaster Recovery ist der Begriff Business Continuity, der nicht die Wiederherstellung der IT-Dienste, sondern unterbrechungsfreie Geschäftsabläufe in den Vordergrund stellt.",Wikipedia,,,https://de.wikipedia.org/wiki/Betriebliches_Kontinuitätsmanagement,,,,,Geprüfter vollständiger Eintrag
Datenintegrität,,Integrität ist neben Verfügbarkeit und Vertraulichkeit eines der drei klassischen Ziele der Informationssicherheit. Eine einheitliche Definition des Begriffs gibt es nicht. Laut Glossar des Bundesamtes für Sicherheit in der Informationstechnik bezeichnet Integrität die „Korrektheit (Unversehrtheit) von Daten und der korrekten Funktionsweise von Systemen“.,Wikipedia,,,https://de.wikipedia.org/wiki/Datenintegrität,,,,,
Disaster Recovery,,"Der englische Begriff Disaster Recovery (im Deutschen auch Katastrophenwiederherstellung oder Notfallwiederherstellung genannt) bezeichnet Maßnahmen, die nach einem Unglücksfall in der Informationstechnik eingeleitet werden. Dazu zählt sowohl die Datenwiederherstellung als auch das Ersetzen nicht mehr benutzbarer Infrastruktur, Hardware und Organisation.",Wikipedia,,,https://de.wikipedia.org/wiki/Disaster_Recovery,,,,,
Effizienz,,"Etwas ist effizient, wenn es (für ein fixes Ergebnis) nur einen kleinen Aufwand benötigt oder aber bei einem feststehenden Aufwand das bessere Ergebnis liefert; dagegen ist effektiv alles, was ein gewünschtes Ergebnis erreicht.",Wiktionary,,,https://de.wikipedia.org/wiki/Effizienz,,,,,
Elektronische Gesundheitsakte,,"Die Elektronische Gesundheitsakte oder elektronische Patientenakte ist eine (geplante) Datenbank, in der die Anamnese, Behandlungsdaten, Medikamente, Allergien und weitere Gesundheitsdaten der gesetzlich Krankenversicherten sektor- und fallübergreifend, landesweit einheitlich gespeichert werden sollen. Ärzte, Zahnärzte, Apotheken und Pflegeeinrichtungen sollen sie bei Bedarf überall ohne Zeitverlust abrufen können, sofern der Patient, der die alleinige Verfügungsgewalt über seine Akte hat, dem zustimmt.",Wikipedia,,,https://de.wikipedia.org/wiki/Elektronische_Gesundheitsakte,,,,,
Green IT,,"Unter Green IT (seltener auch Green ICT) versteht man Bestrebungen, die Nutzung von Informations- und Kommunikationstechnik (IKT) über deren gesamten Lebenszyklus hinweg umwelt- und ressourcenschonend zu gestalten. Dies beinhaltet die Optimierung des Ressourcenverbrauchs während der Herstellung, des Betriebs und der Entsorgung der Geräte (Green in der IT). Ein weiterer Aspekt von Green IT ist die Energieeinsparung durch den Einsatz von Informationstechnik (IT), wenn beispielsweise Dienstreisen durch Videokonferenzen ersetzt werden (Green durch IT).",Wikipedia,,,https://de.wikipedia.org/wiki/Green_IT,,,,,
Informationssicherheit,,"Als Informationssicherheit bezeichnet man Eigenschaften von informationsverarbeitenden und -lagernden (technischen oder nicht-technischen) Systemen, die die Schutzziele Vertraulichkeit, Verfügbarkeit und Integrität sicherstellen. Informationssicherheit dient dem Schutz vor Gefahren bzw. Bedrohungen, der Vermeidung von wirtschaftlichen Schäden und der Minimierung von Risiken.",Wikipedia,,,https://de.wikipedia.org/wiki/Informationssicherheit,,,,,
Integration (Software),,"Die Integration in der Softwaretechnik verknüpft verschiedene Anwendungen unter Verringerung und Vermeidung von Schnittstellen. Es lassen sich Funktionsintegration, Datenintegration und Geschäftsprozessintegration unterscheiden.
 Funktionsintegration = mehrere arbeitsteilige Applikationen werden in einer Anwendung (keine Standardsoftware) zusammengefasst.
 Datenintegration = alle beteiligten Applikationen greifen auf ein einheitliches Datenmodell mit gleicher Semantik zu, um Daten-Redundanzen zu vermeiden. 
 Geschäftsprozessintegration = verschiedene Funktionen der beteiligten Applikationen (inkl. Standardsoftware) werden entlang der Geschäftsprozesse mit Hilfe einer Integrationsplattform miteinander integriert. 
 siehe auch Unternehmensanwendungsintegration (UAI)",Wikipedia,,,https://de.wikipedia.org/wiki/Integration_(Software),,,,,
Interoperabilität,,Interoperabilität ist die Fähigkeit eines Programms oder Systems (dessen Schnittstellen vollständig offengelegt sind) mit anderen gegenwärtigen oder zukünftigen Produkten oder Systemen ohne Einschränkungen hinsichtlich Zugriff oder Implementierung zusammenzuarbeiten bzw. zu interagieren.,Wikipedia,,,https://de.wikipedia.org/wiki/Interoperabilität,,,,,
Intrusion-Prevention-Systeme (IPS),,"Als Intrusion-Prevention-Systeme (kurz: IPS) werden Intrusion-Detection- Systeme (kurz: IDS) bezeichnet, die über die reine Generierung von Ereignissen (Events) hinaus Funktionen bereitstellen, die einen entdeckten Angriff abwehren können.",Wikipedia,,,https://de.wikipedia.org/wiki/Intrusion_Prevention_System,,,,,
IT-Compliance,,"IT-Compliance beschreibt in der Unternehmensführung die Einhaltung der gesetzlichen, unternehmensinternen und vertraglichen Regelungen im Bereich der IT-Landschaft. Die IT-Compliance ist im Zusammenhang mit der IT-Governance zu sehen, die das Thema um die Bereiche Controlling, Geschäftsprozesse und Management erweitert. Der Schwerpunkt der IT-Compliance als Teilbereich liegt auf denjenigen Aspekten von Compliance-Anforderungen, welche die IT-Systeme eines Unternehmens betreffen. Zu den Compliance-Anforderungen in der IT gehören hauptsächlich Informationssicherheit, Verfügbarkeit, Datenaufbewahrung und Datenschutz.",Wikipedia,,,https://de.wikipedia.org/wiki/IT-Compliance,,,,,
IT-Governance,,"IT-Governance besteht aus Führung, Organisationsstrukturen und Prozessen, die sicherstellen, dass die Informationstechnik (IT) die Unternehmensstrategie und -ziele unterstützt. Unter IT wird in diesem Zusammenhang die gesamte Infrastruktur verstanden, aber auch die Fähigkeiten und die Organisation, die die IT unterstützen und begründen. IT-Governance liegt in der Verantwortung des Vorstands und des Managements und ist ein wesentlicher Bestandteil der Unternehmensführung.",Wikipedia,,,https://de.wikipedia.org/wiki/IT-Governance,,,,,
